OBJECTID;ZEFINAL;FIRST_SEDE;FIRST_NOME;SHAPE_LENG;SHAPE_AREA;ZHAPE_AREA;ANO_ELEICA;CD_TIPO_EL;NM_TIPO_EL;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGE;SG_UF;SG_UE;NM_UE;CD_MUNICIP;NM_MUNICIP;NR_ZONA;CD_CARGO;DS_CARGO;TP_AGREMIA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGAC;NM_COLIGAC;DS_COMPOSI;ST_VOTO_EM;QT_VOTOS_N;QT_VOTOS_L;TOTAL_DOMI;TOTAL_REND;RENDA_MEDI;MORADORES_;MEDIA_MORA;RENDA_PER_;POP_MASCUL;POP_FEMINI;POP_BRANCA;POP_PRETA;POP_AMAREL;POP_PARDA;POP_INDIGE;POP_CRIANC;POP_ADOLES;POP_ADULTO;POP_IDOSA;Rank_TOT_REND;Rank_MORADORES;Rank_POP_PARDA;Rank_POP_PRETA;Rank_POP_BRANCA;Rank_POP_AMAREL;Rank_TOTAL_DOMI;Rank_POP_MASCUL;Rank_POP_FEMINI;Rank_POP_ADOLES;Rank_POP_ADULTO;Rank_POP_IDOSA
231;249;SÃO PAULO;SÃO PAULO - SANTANA;0.19029090940;0.00107270832;188;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;249;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;2337;974;39636;224618592;5667.03;111825;3;2008.66;43036;53341;80189;3143;3295;9664;86;15032;34691;24615;22039;7;0;0;0;3;6;1;0;1;0;1;5
232;250;SÃO PAULO;SÃO PAULO - LAPA;0.27179175795;0.0025912608;191;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;250;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;4650;1655;62535;362093633;5790.26;179739;3;2014.55;71150;82094;123077;5287;3901;20861;118;23926;61898;35981;31439;8;4;2;1;8;7;5;5;5;4;6;8
233;251;SÃO PAULO;SÃO PAULO - PINHEIROS;0.19212263984;0.00151691856;189;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;251;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;3548;707;52222;489679562;9376.88;127949;2;3827.15;50063;63974;98229;2544;4846;8348;70;15307;44550;27034;27146;9;1;0;0;6;7;3;1;2;1;2;7
234;252;SÃO PAULO;SÃO PAULO - PENHA DE FRANÇA;0.18202334459;0.00099077255;770;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;252;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;3340;1435;41295;130600726;3162.63;125769;3;1038.42;47593;57158;78241;5716;2494;18199;101;18418;40037;24833;21463;4;0;1;2;3;5;1;1;1;0;1;5
235;253;SÃO PAULO;SÃO PAULO - TATUAPÉ;0.32812633417;0.00199692055;582;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;253;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;6421;2132;85087;377728464;4439.32;256226;3;1474.2;98140;116824;166768;7979;9710;30365;142;36361;81255;52426;44922;8;8;3;3;9;9;9;9;9;8;9;9
236;254;SÃO PAULO;SÃO PAULO - VILA MARIA;0.21039701816;0.00186143515;80;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;254;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;5461;2016;54354;161863736;2977.95;171314;3;944.84;64240;75188;95857;6802;2088;34348;333;28026;57485;30109;23808;5;3;3;2;5;4;3;3;3;3;4;6
237;255;SÃO PAULO;SÃO PAULO - CASA VERDE;0.21097536662;0.00147292022;586;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;255;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;7030;2591;67082;214863752;3203.0;214832;3;1000.15;79325;95060;114207;17067;4904;37899;308;33756;70235;39939;30455;6;6;4;8;7;7;6;6;7;6;7;8
238;256;SÃO PAULO;SÃO PAULO - TUCURUVI;0.44092761196;0.00556116864;552;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;256;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;6584;2386;68955;217813018;3158.77;225837;3;964.47;83585;97053;119244;11252;3209;46723;210;36791;73623;40867;29357;6;7;6;6;8;6;7;7;7;7;7;8
239;257;SÃO PAULO;SÃO PAULO - VILA PRUDENTE;0.20739727871;0.00156845768;81;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;257;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;7327;2123;70273;238246651;3390.3;211803;3;1124.85;81360;95723;138777;6543;5131;26571;61;30305;67357;42997;36424;7;6;2;2;9;8;7;7;7;5;8;9
240;258;SÃO PAULO;SÃO PAULO - INDIANÓPOLIS;0.21335645802;0.00207432008;656;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;258;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;4251;1011;83686;777774544;9293.96;215992;3;3600.94;84161;103756;162457;3475;8055;13807;123;24955;73816;46162;42984;9;7;0;0;9;8;8;7;8;7;8;9
241;259;SÃO PAULO;SÃO PAULO - SAÚDE;0.14035202397;0.00098961729;368;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;259;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;3507;1109;64649;466814874;7220.76;171816;3;2716.95;67003;83048;113131;3825;21226;11765;104;21459;60352;36832;31408;9;4;0;0;7;9;5;4;5;4;6;8
242;260;SÃO PAULO;SÃO PAULO - IPIRANGA;0.19913796405;0.00153721675;94;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;260;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;11631;2326;68222;234448156;3436.55;206823;3;1133.57;78416;90157;116716;8238;4700;38723;196;32945;70491;36900;28237;7;6;5;4;7;7;6;6;6;6;6;7
261;280;SÃO PAULO;SÃO PAULO - CAPELA DO SOCORRO;0.26606572262;0.00288001037;369;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;280;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;12498;2571;60480;186066358;3076.49;201169;3;924.93;74211;85347;92265;11222;3591;52335;145;33098;67227;35741;23492;6;5;7;5;5;6;4;5;5;5;5;6
296;320;SÃO PAULO;SÃO PAULO - JABAQUARA;0.16516057409;0.00120867193;534;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;320;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;9711;2651;74316;232006265;3121.89;231281;3;1003.14;85050;100881;107072;14888;9764;54018;189;36921;78763;41013;29234;7;7;7;7;7;9;7;7;7;7;7;7
299;325;SÃO PAULO;SÃO PAULO - PIRITUBA;0.18875536087;0.00122093522;178;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;325;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;3585;1343;36212;128015728;3535.17;110930;3;1154.02;42028;49118;66784;4685;1321;18269;87;16539;37169;22047;15391;4;0;1;1;1;2;0;0;0;0;0;1
300;326;SÃO PAULO;SÃO PAULO - ERMELINO MATARAZZO;0.12556072079;0.00089052356;281;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;326;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;8088;1973;36872;73916131;2004.67;124298;3;594.67;45270;50638;51171;7736;1243;35634;124;21922;41688;20628;11670;0;0;3;3;0;2;0;0;0;0;0;0
301;327;SÃO PAULO;SÃO PAULO - NOSSA SENHORA DO Ó;0.17703337816;0.00087588562;673;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;327;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;5068;1736;42221;124846256;2956.97;132487;3;942.33;49694;58196;74101;6725;1161;25826;77;20563;42971;25855;18501;3;1;2;2;2;1;1;1;1;1;1;3
302;328;SÃO PAULO;SÃO PAULO - CAMPO LIMPO;0.17256663199;0.00111699691;374;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;328;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;14144;3151;66295;152614875;2302.06;219199;3;696.24;78540;88948;83627;13798;2445;67360;258;37889;78290;33839;17470;4;7;7;7;4;5;6;6;6;7;5;2
317;346;SÃO PAULO;SÃO PAULO - BUTANTÃ;0.25085243730;0.00241941422;196;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;346;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;6201;1395;56185;440556780;7841.18;173332;3;2541.69;65180;76503;101704;6196;6643;26829;311;25810;59109;32155;24609;8;4;2;2;6;8;4;4;4;4;4;6
318;347;SÃO PAULO;SÃO PAULO - VILA MATILDE;0.20138843060;0.00147760459;661;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;347;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;7816;2473;64718;174420183;2695.08;207274;3;841.5;77725;89171;110305;12791;4453;39213;134;32979;68088;38050;27779;5;6;5;7;7;7;5;6;6;5;7;7
319;348;SÃO PAULO;SÃO PAULO - VILA FORMOSA;0.15760070389;0.00080966464;79;2018;2;Eleição Ordinária;1;297;Eleições Gerais Estaduais 2018;07/10/18;E;SP;SP;SÃO PAULO;71072;SÃO PAULO;348;6;Deputado Federal;Coligação;13;PT;Partido dos Trabalhadores;2,50E+11;SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES;PT / PC do B;N;3129;1105;37042;127117561;3431.71;115893;3;1096.85;44076;51531;72682;4834;2084;15961;46;17164;36425;23158;18860;4;0;1;1;1;4;0;0;0;0;1;4
